# Time-averaged data for fix 2
# TimeStep c_my_msd[4] c_msd_com[4]
100 0.0815772 0.0815772
200 0.348515 0.348515
300 0.551388 0.551388
400 0.763743 0.763743
500 0.99539 0.99539
600 1.22146 1.22146
700 1.40346 1.40346
800 1.59143 1.59143
900 1.76006 1.76006
1000 1.96618 1.96618
1100 2.16636 2.16636
1200 2.2974 2.2974
1300 2.45894 2.45894
1400 2.71902 2.71902
1500 3.06131 3.06131
1600 3.37841 3.37841
1700 3.66808 3.66808
1800 4.0315 4.0315
1900 4.38725 4.38725
2000 4.70329 4.70329
2100 5.0326 5.0326
2200 5.20915 5.20915
2300 5.35651 5.35651
2400 5.49456 5.49456
2500 5.73797 5.73797
2600 5.96397 5.96397
2700 6.14755 6.14755
2800 6.44549 6.44549
2900 6.64613 6.64613
3000 6.76214 6.76214
3100 6.84351 6.84351
3200 7.01073 7.01073
3300 7.20669 7.20669
3400 7.41403 7.41403
3500 7.7505 7.7505
3600 8.0976 8.0976
3700 8.45577 8.45577
3800 8.69938 8.69938
3900 8.73457 8.73457
4000 9.01628 9.01628
4100 9.43291 9.43291
4200 9.64461 9.64461
4300 9.69761 9.69761
4400 9.89301 9.89301
4500 10.3492 10.3492
4600 10.7737 10.7737
4700 11.2056 11.2056
4800 11.5885 11.5885
4900 11.6825 11.6825
5000 11.6791 11.6791
5100 11.7193 11.7193
5200 11.7201 11.7201
5300 11.5139 11.5139
5400 11.3465 11.3465
5500 11.2649 11.2649
5600 11.3802 11.3802
5700 11.9484 11.9484
5800 12.4477 12.4477
5900 12.5902 12.5902
6000 12.6037 12.6037
6100 12.8714 12.8714
6200 13.2009 13.2009
6300 13.3708 13.3708
6400 13.2794 13.2794
6500 13.3719 13.3719
6600 13.6443 13.6443
6700 13.875 13.875
6800 14.0913 14.0913
6900 14.0923 14.0923
7000 14.1098 14.1098
7100 14.2994 14.2994
7200 14.4748 14.4748
7300 14.5078 14.5078
7400 14.721 14.721
7500 15.1547 15.1547
7600 15.7221 15.7221
7700 16.0351 16.0351
7800 16.2794 16.2794
7900 16.5249 16.5249
8000 16.6586 16.6586
8100 16.7928 16.7928
8200 16.8224 16.8224
8300 16.9359 16.9359
8400 17.0785 17.0785
8500 17.2889 17.2889
8600 17.3678 17.3678
8700 17.2262 17.2262
8800 17.2108 17.2108
8900 17.4438 17.4438
9000 17.5959 17.5959
9100 17.6678 17.6678
9200 17.8121 17.8121
9300 17.8998 17.8998
9400 17.8656 17.8656
9500 17.658 17.658
9600 17.4498 17.4498
9700 17.5838 17.5838
9800 17.9059 17.9059
9900 18.2482 18.2482
10000 18.2335 18.2335
10100 18.3719 18.3719
10200 18.7651 18.7651
10300 19.0444 19.0444
10400 19.0435 19.0435
10500 19.056 19.056
10600 19.0251 19.0251
10700 18.9705 18.9705
10800 19.1824 19.1824
10900 19.4456 19.4456
11000 19.6414 19.6414
11100 19.7446 19.7446
11200 19.4358 19.4358
11300 19.1676 19.1676
11400 18.9471 18.9471
11500 18.6965 18.6965
11600 18.7126 18.7126
11700 19.0012 19.0012
11800 19.0741 19.0741
11900 18.8561 18.8561
12000 18.863 18.863
12100 19.1991 19.1991
12200 19.3421 19.3421
12300 19.3925 19.3925
12400 19.5788 19.5788
12500 19.7501 19.7501
12600 19.7023 19.7023
12700 19.7097 19.7097
12800 20.2032 20.2032
12900 20.7875 20.7875
13000 21.0873 21.0873
13100 21.3821 21.3821
13200 21.5263 21.5263
13300 21.5027 21.5027
13400 21.7138 21.7138
13500 21.8168 21.8168
13600 21.9487 21.9487
13700 22.033 22.033
13800 22.1431 22.1431
13900 21.9555 21.9555
14000 21.7485 21.7485
14100 21.9063 21.9063
14200 22.0264 22.0264
14300 22.226 22.226
14400 22.4942 22.4942
14500 22.7683 22.7683
14600 22.9905 22.9905
14700 22.752 22.752
14800 22.3282 22.3282
14900 22.3212 22.3212
15000 22.5015 22.5015
15100 22.6546 22.6546
15200 22.8707 22.8707
15300 23.2457 23.2457
15400 23.5518 23.5518
15500 23.6304 23.6304
15600 24.0053 24.0053
15700 24.3837 24.3837
15800 24.3403 24.3403
15900 24.3564 24.3564
16000 24.614 24.614
16100 24.8146 24.8146
16200 24.8986 24.8986
16300 24.8874 24.8874
16400 24.7822 24.7822
16500 24.94 24.94
16600 25.4359 25.4359
16700 25.9202 25.9202
16800 25.7084 25.7084
16900 25.7481 25.7481
17000 26.0198 26.0198
17100 26.0086 26.0086
17200 25.8948 25.8948
17300 26.0311 26.0311
17400 26.223 26.223
17500 26.5121 26.5121
17600 26.8483 26.8483
17700 27.1126 27.1126
17800 27.3256 27.3256
17900 27.8949 27.8949
18000 28.3985 28.3985
18100 28.8159 28.8159
18200 29.2769 29.2769
18300 29.4789 29.4789
18400 29.4759 29.4759
18500 29.4857 29.4857
18600 29.5537 29.5537
18700 29.5663 29.5663
18800 29.5253 29.5253
18900 29.6139 29.6139
19000 29.6155 29.6155
19100 29.605 29.605
19200 29.6283 29.6283
19300 29.6852 29.6852
19400 29.7128 29.7128
